,spaCy_Universal,NLTK_PennTreebank
'',0.0,1.0
ADJ,40961.0,0.0
ADP,5309.0,0.0
ADV,9473.0,0.0
AUX,2715.0,0.0
CC,0.0,164.0
CCONJ,90.0,0.0
CD,0.0,580.0
DET,368.0,0.0
DT,0.0,61.0
EX,0.0,6.0
FW,0.0,838.0
IN,0.0,9741.0
INTJ,3609.0,0.0
JJ,0.0,74525.0
JJR,0.0,1678.0
JJS,0.0,1004.0
MD,0.0,435.0
NN,0.0,181929.0
NNP,0.0,267.0
NNPS,0.0,2.0
NNS,0.0,17012.0
NOUN,127403.0,0.0
NUM,749.0,0.0
PART,1589.0,0.0
PDT,0.0,6.0
POS,0.0,6.0
PRON,1261.0,0.0
PROPN,112298.0,0.0
PRP,0.0,176.0
PRP$,0.0,21.0
RB,0.0,16474.0
RBR,0.0,1198.0
RBS,0.0,58.0
RP,0.0,657.0
SCONJ,888.0,0.0
SYM,1.0,0.0
TO,0.0,2478.0
UH,0.0,297.0
VB,0.0,16194.0
VBD,0.0,5728.0
VBG,0.0,2870.0
VBN,0.0,3383.0
VBP,0.0,37726.0
VBZ,0.0,1616.0
VERB,68524.0,0.0
WDT,0.0,11.0
WP,0.0,127.0
WRB,0.0,144.0
X,166.0,0.0
