artist,track_name,year_original,genre,lyric,year
PXNDX,Procedimientos para Llegar a un Común Acuerdo,2006,custom,"10 Contributors
Procedimientos para Llegar a un Común Acuerdo Lyrics
[Letra de ""
Procedimientos para Llegar a un Común Acuerdo""]
[Verso 1: José Madero y 
José Madero (Segunda Voz)
]
Yo sé que soy poco superficial
Y que me manejo en la promiscuidad
(
Sé que quieres, yo también
Te pongo a sudar y lo finges bien
)
Sí, te voy a hablar con la verdad
(
Si quieres prudencia, a nadie le diré
Y con elegancia yo te lo daré
)
Para no perder el tiempo más

Sé que me quieres tener
Y yo te prometo, prometo no hablarte de amor
Me quieres tener
Tu cuerpo descomunal, sin indumentaria
Lo quiero con todo respeto palpar
[Verso 2: José Madero y 
José Madero (Segunda Voz)
]
Ah, tu nombre olvidé yo preguntar
Dónde vives y cómo te gusta más
(
Tengo que advertirte, tienes que saber
Que igual y no estaré al amanecer
)
Quiero dejar algo en claro ya
(
Crees que solo te quiero para una vez
¿Pero sabes qué? Dos estaría bien
)
Deseo hacerlo todo nada más


Sé que me quieres tener
Y yo te prometo, prometo no hablarte de amor
Me quieres tener
Tu cuerpo descomunal, sin indumentaria
Lo quiero con todo respeto palpar


Sensual, la depravación en mí es sensual
Ruge mi nombre así
Sensual, la depravación en mí es sensual
Ruge mi nombre así, sensual

Tengo que advertirte, tienes que saber
Que igual y no estaré al amanecer
Crees que solo te quiero para una vez
¿Pero sabes qué? Dos estaría bien

Sé que me quieres tener
Y yo te prometo, prometo no hablarte de amor
Me quieres tener
Tu cuerpo descomunal, sin indumentaria
Lo quiero con todo respeto palpar",2006
PXNDX,Los Malaventurados No Lloran,2006,custom,"14 Contributors
Los Malaventurados No Lloran Lyrics
La canción es el segundo sencillo y pertenece al álbum “Amentes Sunt Amentes” que es el sucesor de la historia de “Para Ti Con Desprecio”.


Sé que está en algún lugar mejor
Donde no hay abuso, fuera de este mundo
Quiero encontrar el medio para yo
Poder hablar con ella, poder decirle a ella

Que aquí todo está peor
Que al igual que ella, mi voluntad también murió
Le quiero platicar que todo sale mal
Que yo la alcanzaría, teniendo la oportunidad

Sé que ella se siente mejor
Allá no hay suplicio
, 
sería muy impulsivo
El utilizar el medio y llegar a lo desconocido
Sentirla al lado mío, y decir

Que todo está peor
Que al igual que ella, mi esperanza se murió
La quiero abrazar, que todo sea igual
Mi vida ya es tan gris que el dolor jamás se marchará


Me debería de acordar, debo yo recordar y sentirse mejor
Es mejor no creer en el amor, así como le hago yo
La debería de odiar por dejarme aquí, pero ella no escogió
Soy un simple amante loco y yo, he aprendido mi lección

Sé que está en algún lugar mejor
Donde no hay abuso, fuera de este mundo
Quiero encontrar el medio para yo
Poder hablar con ella, poder decirle a ella

Que aquí todo está peor
Que al igual que ella, mi voluntad también murió
La quiero saludar, a su oído suspirar
Que mientras yo la extraño, mi vida desvanece más",2006
PXNDX,Porque Todavía Podemos Decir “Una Vez Más”,2005,custom,"3 Contributors
Porque Todavía Podemos Decir “Una Vez Más” Lyrics


En verdad tú eras quien ponía el cielo azul
Tú eras el interruptor
Interruptor de luz en la pared
Te apagaste y regresé a la obscuridad

En verdad no sé ni dónde estoy parado
En verdad obscuro está, ya no veo nada
Estiro mis brazos hacia el frente
Grito tu nombre en alta voz

Sé que hay cosas que aclarar, no se tienen que aclarar
No me importa, sigue igual

Sólo asienta, por favor, la cabeza si los planes han cambiado
Si los planes han cambiado
Sólo niega, sin razón, con la cabeza si igual se han quedado
Si igual se han quedado, pero, por favor, no me dejes dudando

Dices tú que no te gusta que te ruegue
Luego me pediste que me arrodille a tus pies
Ya sabías que lo haría
Pues no existe cosa que me detenga para hacerte sentir bien


Me dejaste escapar, irresponsabilidad
Siempre regresaba en el final

Sonríe, por favor
Sonríe niña, yo me quedaré
Te juro, yo me quedaré

Si quieres tú llorar, si tú lloras, yo me iré al amanecer
Yo me iré al amanecer
Pero, por favor, no me dejes dudando
No me dejes dudando, no me dejes dudando
Pero, por favor, no me dejes dudando",2005
PXNDX,Sangre Fría,2013,custom,"4 Contributors
Sangre Fría Lyrics


Sólo quería volar a tu lado, sentirme inmortal
Sólo deseaba que tú me desearas
Tu tibieza fue un duro rival
Y quebró mis alas de cristal

El tiempo es la mejor medicina y también la que más duele
Y ni tiempo hay, ¿para qué te sirve tenerme a tus pies?
Pues mi hoy, mi después, perdieron la guerra con tu ayer
Fue así, que a sangre fría, te perdí

Me encanta sobreimaginar cuando todo es elemental
Me encanta pensar que soy suficiente
Mas me falta mucho material
Para mí, tú sí fuiste especial

Camino a olvidar, aceleras dejándome atrás
Baja velocidad, que voy ahí detrás
Oh, ¿por qué dijiste ""no hay nada que temer""?
Cuando mi hoy, al parecer, no tuvo la fuerza de tu ayer


Dices que no tienes poder, le temes a las reglas romper
Te dicen que no estoy al nivel
Que tengo una vida de papel
Y lo peor, tu sangre fría no bastó

Sólo quería volar a tu lado, sentirme inmortal
Sólo deseaba que tú me desearas
Tus obstáculos pudieron más
Total, qué más da",2013
PXNDX,Narcisista por Excelencia,2006,custom,"8 Contributors
Narcisista por Excelencia Lyrics
La canción es el primer sencillo y pertenece al album: “Amantes Sunt Amentes”. Expresa la necesidad de una persona que no está satisfecha con su “belleza” natural, lo cual lo lleva a simular la anterior… 
Read More
 


¿Sabes qué es la inseguridad?
¿Sabes lo que es sentir la soledad?
Mi peor error fue haber aceptado mi fealdad

Porque ahora ya no tengo dónde esconder el miedo
Y el miedo sigue vivo, se la vive aquí conmigo
Yo me baso en la apariencia, con placer y sin conciencia
Esperando que algún día tu atención fijes en mí

Es por eso que ahora visto así
Quiero ser elegante y estilero hasta el fin
No podré proyectarlo, me lo tengo que creer

Suponiendo que en la gente la belleza es natural
Pues belleza es la palabra que aún no logro concretar

Disfraz, disfraz
Narcisista artificial
Disfraz, disfraz
Todo es mental


¿Cómo me peinaré esta noche?
¿Qué ropa me combinará mejor?
Tener tu interés, convertirlo en amor

Quisiera poder saber qué piensas
¿Me veré bien o acaso me veo mal?
Sé que es patético, pero en mí es normal

Suponiendo que en la gente la belleza es natural
Pues belleza es la palabra que aún no logro concretar

Disfraz, disfraz
Narcisista artificial
Disfraz, disfraz
Todo es mental


Suponiendo que en la gente la belleza es natural
Pues belleza es la palabra que aún no logro concretar


Disfraz, disfraz
Narcisista artificial
Disfraz, disfraz
Todo es mental",2006
PXNDX,Nuestra Aflicción,2009,custom,"7 Contributors
Nuestra Aflicción Lyrics


¿Cuánto, cuánto se necesita para ya resolver
Destruir este dilema que me tortura en las noches?
No me deja soñar
Amplifica mis temores, simple o cabal

Encerré y acabé con mis sueños
Y la llave arrojé, ¿para qué los necesito?
Sólo me causan angustia, me hace falta un plan
Me hace falta astucia y paz mental

Entiendo el rechazo del mundo, tu repudio, amor
Pues igual si me conociera, tal vez voltearía mi cara
Tal vez sentiría lástima
Dicen que el amor ""mancha"" y ya me ensucié

Parece, sí parece, oh, no, no
Que lo mucho que ofrezco, no ofrece tanto y por eso
Por eso me afronté y dejaré de ser una carga, pues yo ya no aguanto más farsas
No lo puedo evitar, sentir que muere mi flama cuando no estás


Y así cierro un ciclo, amor, necesito un favor
Un poco más de medicina, pues nunca entendí la manera
Para poder evitar sentir que me rompen las piernas
Cuando no estás

Y me haría feliz que mi cantar
Te haga sentir muy especial
Que mi cantar te pueda dar placer y así juntos envejecer
Mas no pude hacerte feliz, ya decidí partir

Vamos a continuar con alegría y felicidad
Vamos a continuar con nuestra aflicción
Nuestra aflicción
Uoh oh oh
Uoh oh oh
Uoh oh-oh oh-oh-oh
Uoh oh oh
Uoh oh oh-oh-oh oh-oh-oh oh-oh
Uoh oh-oh-oh-oh
Uoh oh oh
Uoh oh oh-oh-oh oh-oh-oh oh-oh",2009
PXNDX,Disculpa los Malos Pensamientos,2005,custom,"8 Contributors
Disculpa los Malos Pensamientos Lyrics


Estas manos de rojo están manchadas
Por todas las veces que yo en mis sueños te he asesinado con tanta pasión
Enjuagaremos aquellas veces que dijiste que me amabas
Un poco de veneno y aguarrás, sumérgete un poco más

Porque tú muerta ya estás, muerta estarás
Puedes estar tranquila
Pues sólo en sueños me atrevo a matar

Olvidaremos todos esos momentos que juntos pasamos
Te juro que yo no podré olvidar, pues la venganza es prioridad
Celebraremos que todo terminó con un vodka barato
Si quieres cerveza, si quieres, si quieres un poco más
[Coro: José Madero y 
José Madero (Segunda voz)
]
Porque tú muerta ya estás, muerta estarás
Puedes estar tranquila
Pues sólo en sueños me atrevo a matar
Porque tú muerta ya estás, muerta estarás (
Lo que pedías, yo te lo di
)
Puedes estar tranquila  (
Lo que tenía, te lo ofrecí
)
Pues sólo en sueños me atrevo a matar (
Ahora sólo tengo malos pensamientos
)

[Puente: José Madero y 
Ricardo Treviño
]
De rojo te ves bien
Combina con tus ojos y tu piel
De rojo te ves bien, rojo sangre
De rojo te ves bien (
Rojo te ves bien
)
Rojo te ves bien (
Rojo te ves bien
)
De rojo te ves bien (
Rojo
)
[Outro: José Madero, 
José Madero (Segunda voz)
 y 
Ricardo Treviño
]
De rojo te ves bien (
Lo que pedías, yo te lo di
) (
Rojo te ves bien
)
De rojo te ves bien (
Lo que tenía, te lo ofrecí
) (
Rojo te ves
)
De rojo te ves bien (
Ahora sólo tengo malos pensamientos
) (
Rojo
)
Porque tú muerta ya estás (
Rojo te ves bien
) (
De rojo te ves bien
)
Muerta estarás, puedes estar tranquila (
Rojo te ves
) (
Rojo te ves bien
)
Pues sólo en sueños me atrevo a matar (
Rojo
)  (
Ahora sólo tengo malos pensamientos
)",2005
PXNDX,Consejo al Espejo,2012,custom,"6 Contributors
Consejo al Espejo Lyrics

[Intro: 
Ricardo Treviño, Arturo Arredondo, Jorge ""Kross"" Vázquez
]
Oh-oh-oh oh
Oh-oh-oh oh

Tu corazón se ha convertido en piedra
La dirección de tus ojos, la banqueta
Y sabes bien que el acero también tiembla
Y tu valor no es tan fuerte como era

Cuelga ahí en la pared toda tu gloria
Que sea nomás un altar a la memoria
Y piensa en que, en el futuro hay más victorias
Olvida ya el pasado y sus historias

Bienvenido, amigo, a casa otra vez
Recuerda que para ganar hay que perder

Y aunque el sol se apague, y aunque lo bueno no dure
Mientras dure, ponlo en tu cajón
Y aunque no parezca, y aunque pierdas la cabeza
Deja a un lado todo el rencor

¡Parapaparará!
[Post-Coro: 
Ricardo Treviño, Arturo Arredondo, Jorge ""Kross"" Vázquez
]
Oh-oh-oh oh
Oh-oh-oh oh
Oh-oh-oh oh
Oh-oh-oh oh

El ciclo ya lo cumpliste, estás en casa
Sin oro ni con bronce ni con plata
Evita que tu honra apenada
Convierta en derrota el mañana

La línea recta te permite progresar
Contrario a la forma circular

Y aunque hoy te pares, y aunque casi ya no aguantes
Deja de en rueda caminar
Y aunque siempre te rechazas, sientes que te cansas
Un poco más lo has dejado atrás
¡Parapaparará!



Bienvenido, amigo, a casa otra vez
Recuerda que para ganar hay que perder
Bienvenido, amigo, a casa otra vez
Recuerda que para ganar hay que perder

Y aunque el sol se apague, y aunque lo bueno no dure
Mientras dure, ponlo en tu cajón
Y aunque no parezca, y aunque pierdas la cabeza
Deja a un lado todo el rencor

¡Parapaparará!
¡Parapaparará!
¡Parapaparará!
¡Parapaparará!",2012
PXNDX,Solo a Terceros,2009,custom,"7 Contributors
Translations
English
Solo a Terceros Lyrics


Tal vez no sucedió, tal vez esto sea una ilusión
Tal vez sea una obra dramatúrgica
Con actores y tú eres la principal
Y ese de abajo es tu secundario

Inició la función
¿Qué pasará al final de este drama sexual?
¿Valdrá la pena esperar al final?
Me agrada sentir dolor, ven a contármelo

Que quiero escucharlo, quiero escucharlo
Pones tu cara de querer decir lo siento
Él te dejó sin aliento, quiero escucharlo
Tienes talento para dar placer, pero sólo a terceros

¿Cómo se sintió al tocar alguien que no era yo?
Al rozar las sábanas con alguien más
Sé que pensaste en mí
Espero que lo hayas gozado


Y aunque nunca te alejaste de mí
Siempre existió temor que cometas fraude, mi amor
Y ahora comprendo que mi corazón merece una explicación
Ven a explicárselo

Que quiere escucharlo, quiero escucharlo
Pones tu cara de querer decir lo siento
Él te dejó sin aliento, quiero escucharlo
Tienes talento para dar placer, pero sólo a terceros


No me arrepiento de siempre dudar
Cuestionar tu fidelidad y hasta tu forma de mirar
Y la amargura futura soy yo
Siempre presente yo, pues no quiero perdérmelo

Y quiero escucharlo, quiero escucharlo
Pones tu cara de querer decir lo siento
Que ya caes en lo burlesco, quiero escucharlo
Tienes talento para dar placer, pero sólo a terceros",2009
PXNDX,Miedo a las Alturas,2005,custom,"7 Contributors
Miedo a las Alturas Lyrics

¿Te acuerdas cuando me dijiste ""difícil se pondrá""?
Eso fue lo que pasó y prometiste que cuando yo muera guardarías mi corazón
El daño que causaste era lo único que me podía matar
Heridas temporales
, no bastó, atácame, sin yo saber

Y de la muerte yo regresaré y te buscaré
Te llevaré conmigo de regreso y recuperaré
La vida me robaste

Vida se va, eso me ayuda a pensar
Aquellas luces brillantes no me matarán
Solos tú y yo, tus ojos no hay color
Yo vengaré mi fantasma con todo mi corazón

No fue tan hondo el pozo, pues ya estoy saliendo de él
Se te acaban los lugares donde te puedas esconder
Donde te puedas esconder

[Outro: José Madero y 
Jorge ""Kross"" Vázquez
]
Si tú te vas, nunca olvides que yo te recordaré
Sé muy bien que al final tú y yo estaremos juntos
 
(
Ya he perdido el miedo de caer
)
El miedo a las alturas, saltaré contigo
Si tú te vas, nunca olvides que yo te recordaré",2005
